artist.id,artist.name,id
2gyv1akuIB9fQvXoGSPaJr,Big Freedia,3Ex5RFJRUdpHcDOLXJOVLy
3K2Srho6NCF3o9MswGR76H,Bakar,3NRql0A1Ef4RCvT473iqgD
7wlFDEWiM5OoIAt8RSli8b,YoungBoy Never Broke Again,5A6tFAdihqILHJrWuR6wD4
2dyeCWctcFRt3Pha76ONgb,"Hank Williams, Jr.",5TWhLgjy8cgb6CRPnnlnn2
5cNn5kF2qKIOtBQJ2z4FM3,Dee Watkins,66JGxkWVCyHLBVOYsAvph9
7gi3jmwpUpNWdswT8eEprF,Conway Twitty,6vmAgl2y9MpoZKrVUXrPe5
3K2Srho6NCF3o9MswGR76H,Bakar,6xxG3HbexOhJKyiLmtUPhT
6FxuPrpa8phaP3Xn73emhT,The Wood Brothers,72i7dwVrHdfDnr3qmINh5U
1dy5WNgIKQU6ezkpZs4y8z,ROLE MODEL,7a2IJHzw9WJjoknwdnCop0
4dpARuHxo51G3z768sgnrY,Adele,0ENSn4fwAbCGeFGVUbXEU3
2wSgVsgLUZeDJwoLcPO7ny,Pistol Annies,0sgnJ5LFjEy2IuQ99NEZ1C
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,0vZ97gHhemKm6c64hTfJNA
0qT79UgT5tY4yudH9VfsdT,Sum 41,17XgxMFNzBYv38TEJRC18D
0NB5HROxc8dDBXpkIi1v3d,Remi Wolf,1xNknVNOolLB4oQeEtNBX2
6IOvhXyk5edbA2DVaeP9Up,Dorothy,2NPHU2WJaI3rrtCNNuQ8L1
6e8OTLDQpaz1Tl2GEaxsNj,Matthew West,2XEdrmqNM9ZQQ24ViuceB0
647D92XNDYTUt5A0idePJ4,Fleurie,2kMAKtrAu16HVWxBnOwuhd
10n5DVRlZbjbZ5ffpwpn6l,Rev Theory,2qABxQZhfAthNxszLiSsUw
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,30Chv2SmIry70YwtmtaKnj
3HiuzBlSW7pGDXlSFMhO2g,Young Dolph,3DV3fcJ1Cgc5lVAdvw73Kx
0RESbWvOMyua0yuyVrztJ5,Key Glock,3DV3fcJ1Cgc5lVAdvw73Kx
5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,3Jl5GohfNwozDmpzmQBLDI
0Lpr5wXzWLtDWm1SjNbpPb,Todd Rundgren,3gHFKiDanj4d2rqgHlRFFc
3HR1xtIsUefdFnkI1XHgeA,The Dead South,4eMxLQtSdgxdA1Hs6D2YuN
0dvKgSdNB2U1gfp6ZcekYi,Frankie Ballard,4mnuiEDq1ADXUTYWJxLo4B
1dID9zgn0OV0Y8ud7Mh2tS,Dustin Lynch,4x7Di9FZJXJoxHjLxjImmp
3vAaWhdBR38Q02ohXqaNHT,The All-American Rejects,5gb9UJkh8TfrNMRYOJNbew
5QNm7E7RU2m64l6Gliu8Oy,HARDY,5nra2uQhiaYKKpemgiDNC3
2dIgFjalVxs4ThymZ67YCE,Stray Kids,67LJNZyfDA1uaPCtlpyuKN
2qgvmDsc4jrqbAbjq1HGM2,Rodney Atkins,7vSn3VNbzOtPebdj6ZSebj
